,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
67,126542.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,agosto de 2021 ,G
68,122588.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,agosto de 2021 ,G
69,115294.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,agosto de 2021 ,G
70,83564.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,agosto de 2021 ,G
71,76868.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,agosto de 2021 ,G
0,6993.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,julho de 2022 ,G
1,6282.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,julho de 2022 ,G
2,7015.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,junho de 2022 ,G
3,6301.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,junho de 2022 ,G
4,6960.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,maio de 2022 ,G
5,6251.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,maio de 2022 ,G
6,6905.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,abril de 2022 ,G
7,6202.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,abril de 2022 ,G
8,6851.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,março de 2022 ,G
9,6153.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,março de 2022 ,G
10,6797.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,fevereiro de 2022 ,G
11,6105.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,fevereiro de 2022 ,G
12,6744.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,janeiro de 2022 ,G
13,6052.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,janeiro de 2022 ,G
14,6691.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,dezembro de 2021 ,G
15,6004.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,dezembro de 2021 ,G
16,6668.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,novembro de 2021 ,G
17,5984.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,novembro de 2021 ,G
18,6645.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,outubro de 2021 ,G
19,5964.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,outubro de 2021 ,G
20,6548.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,setembro de 2021 ,G
21,5877.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,setembro de 2021 ,G
22,6453.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,agosto de 2021 ,G
23,5791.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,agosto de 2021 ,G
0,9634.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,julho de 2022 ,G
1,7650.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,julho de 2022 ,G
2,6823.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,julho de 2022 ,G
3,9663.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,junho de 2022 ,G
4,7674.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,junho de 2022 ,G
5,6844.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,junho de 2022 ,G
6,9587.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,maio de 2022 ,G
7,7614.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,maio de 2022 ,G
8,6790.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,maio de 2022 ,G
9,9511.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,abril de 2022 ,G
10,7275.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,abril de 2022 ,G
11,6737.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,abril de 2022 ,G
12,9436.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,março de 2022 ,G
13,7218.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,março de 2022 ,G
14,6684.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,março de 2022 ,G
15,9362.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,fevereiro de 2022 ,G
16,7161.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,fevereiro de 2022 ,G
17,6631.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,fevereiro de 2022 ,G
18,9288.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,janeiro de 2022 ,G
19,7105.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,janeiro de 2022 ,G
20,6579.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,janeiro de 2022 ,G
21,9215.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,dezembro de 2021 ,G
22,7049.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,dezembro de 2021 ,G
23,6527.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,dezembro de 2021 ,G
24,9183.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,novembro de 2021 ,G
25,7025.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,novembro de 2021 ,G
26,6505.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,novembro de 2021 ,G
27,9152.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,outubro de 2021 ,G
