,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
11,6503.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,junho de 2022 ,G
12,5920.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,junho de 2022 ,G
13,5432.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,junho de 2022 ,G
14,10923.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,maio de 2022 ,G
15,9464.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,maio de 2022 ,G
16,7659.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,maio de 2022 ,G
17,7448.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,maio de 2022 ,G
18,6839.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,maio de 2022 ,G
19,5874.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,maio de 2022 ,G
20,5712.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,maio de 2022 ,G
21,10837.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,abril de 2022 ,G
22,9952.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,abril de 2022 ,G
23,7599.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,abril de 2022 ,G
24,7389.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,abril de 2022 ,G
25,6520.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,abril de 2022 ,G
26,5828.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,abril de 2022 ,G
27,5667.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,abril de 2022 ,G
28,10751.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,março de 2022 ,G
29,9874.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,março de 2022 ,G
30,7539.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,março de 2022 ,G
31,7331.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,março de 2022 ,G
32,6216.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,março de 2022 ,G
33,6046.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,março de 2022 ,G
34,5701.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,março de 2022 ,G
35,10666.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,fevereiro de 2022 ,G
36,9796.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,fevereiro de 2022 ,G
37,7399.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,fevereiro de 2022 ,G
38,7064.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,fevereiro de 2022 ,G
39,6337.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,fevereiro de 2022 ,G
40,6164.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,fevereiro de 2022 ,G
41,5812.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,fevereiro de 2022 ,G
42,10582.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,janeiro de 2022 ,G
43,9719.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,janeiro de 2022 ,G
44,7341.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,janeiro de 2022 ,G
45,7008.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,janeiro de 2022 ,G
46,6287.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,janeiro de 2022 ,G
47,6116.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,janeiro de 2022 ,G
48,5925.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,janeiro de 2022 ,G
49,10499.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,dezembro de 2021 ,G
50,9642.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2000,Gasolina,015001-0,dezembro de 2021 ,G
51,7283.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1999,Gasolina,015001-0,dezembro de 2021 ,G
52,6953.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1998,Gasolina,015001-0,dezembro de 2021 ,G
53,6153.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1997,Gasolina,015001-0,dezembro de 2021 ,G
54,5960.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1996,Gasolina,015001-0,dezembro de 2021 ,G
55,5752.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,1995,Gasolina,015001-0,dezembro de 2021 ,G
56,10463.0,Hyundai,Accent GLS 1.5 12V/16V Mec.,2001,Gasolina,015001-0,novembro de 2021 ,G
