,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
9,377815.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,março de 2022 ,G
10,433683.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,fevereiro de 2022 ,G
11,363207.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,fevereiro de 2022 ,G
12,419550.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,janeiro de 2022 ,G
13,360325.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,janeiro de 2022 ,G
14,396645.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,dezembro de 2021 ,G
15,355274.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,dezembro de 2021 ,G
16,392770.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,novembro de 2021 ,G
17,354040.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,novembro de 2021 ,G
18,381819.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,outubro de 2021 ,G
19,352810.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,outubro de 2021 ,G
20,374961.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,setembro de 2021 ,G
21,347639.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,setembro de 2021 ,G
22,383159.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),32000,Gasolina,080032-5,agosto de 2021 ,G
23,342544.0,JAC,iEV  750V 163cv 4p Aut. (Elétrico),2022,Gasolina,080032-5,agosto de 2021 ,G
0,158265.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,julho de 2022 ,G
1,151011.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,julho de 2022 ,G
2,144029.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,julho de 2022 ,G
3,158742.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,junho de 2022 ,G
4,151466.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,junho de 2022 ,G
5,144463.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,junho de 2022 ,G
6,169019.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,maio de 2022 ,G
7,157483.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,maio de 2022 ,G
8,150264.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,maio de 2022 ,G
9,143317.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,maio de 2022 ,G
10,167678.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,abril de 2022 ,G
11,156234.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,abril de 2022 ,G
12,149072.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,abril de 2022 ,G
13,142180.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,abril de 2022 ,G
14,166348.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,março de 2022 ,G
15,154995.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,março de 2022 ,G
16,147889.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,março de 2022 ,G
17,141052.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,março de 2022 ,G
18,167859.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,fevereiro de 2022 ,G
19,153765.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,fevereiro de 2022 ,G
20,145628.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,fevereiro de 2022 ,G
21,139933.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,fevereiro de 2022 ,G
22,169650.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,janeiro de 2022 ,G
23,152545.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,janeiro de 2022 ,G
24,145628.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,janeiro de 2022 ,G
25,139933.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,janeiro de 2022 ,G
26,159704.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,dezembro de 2021 ,G
27,147963.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,dezembro de 2021 ,G
28,143228.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,dezembro de 2021 ,G
29,134532.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,dezembro de 2021 ,G
30,159672.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,novembro de 2021 ,G
31,147449.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,novembro de 2021 ,G
32,142120.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,novembro de 2021 ,G
33,128126.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,novembro de 2021 ,G
34,159904.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,outubro de 2021 ,G
35,146937.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,outubro de 2021 ,G
36,142150.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,outubro de 2021 ,G
37,122025.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,outubro de 2021 ,G
38,160893.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,setembro de 2021 ,G
39,144784.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,setembro de 2021 ,G
40,140120.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,setembro de 2021 ,G
41,116215.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,setembro de 2021 ,G
42,160613.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),32000,Gasolina,080025-2,agosto de 2021 ,G
43,137898.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2022,Gasolina,080025-2,agosto de 2021 ,G
44,130345.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2021,Gasolina,080025-2,agosto de 2021 ,G
45,114512.0,JAC,iEV 20 68cv 5p Aut. (Elétrico),2020,Gasolina,080025-2,agosto de 2021 ,G
0,376200.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,julho de 2022 ,G
1,334264.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2023,Gasolina,080023-6,julho de 2022 ,G
2,312987.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,julho de 2022 ,G
3,287151.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,julho de 2022 ,G
4,253729.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,julho de 2022 ,G
5,373172.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,junho de 2022 ,G
6,313929.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,junho de 2022 ,G
7,288016.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,junho de 2022 ,G
8,254493.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,junho de 2022 ,G
9,370211.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,maio de 2022 ,G
10,311438.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,maio de 2022 ,G
11,285731.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,maio de 2022 ,G
12,252474.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,maio de 2022 ,G
13,370211.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,abril de 2022 ,G
14,308967.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,abril de 2022 ,G
15,283464.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,abril de 2022 ,G
16,250471.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,abril de 2022 ,G
17,369150.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,março de 2022 ,G
18,306515.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,março de 2022 ,G
19,281215.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,março de 2022 ,G
20,248484.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,março de 2022 ,G
